source,target,type,weight
132,3,spatial,0.0
132,4,spatial,0.0
132,5,spatial,0.0
132,6,spatial,0.0
132,7,spatial,0.0
133,0,spatial,0.0
133,1,spatial,0.0
133,2,spatial,0.0
133,3,spatial,0.0
133,4,spatial,0.0
133,5,spatial,0.0
133,6,spatial,0.0
133,7,spatial,0.0
134,0,spatial,0.0
134,1,spatial,0.0
134,2,spatial,0.0
134,3,spatial,0.0
134,4,spatial,0.0
134,5,spatial,0.0
134,6,spatial,0.0
134,7,spatial,0.0
135,0,spatial,0.0
135,1,spatial,0.0
135,2,spatial,0.0
135,3,spatial,0.0
135,4,spatial,0.0
135,5,spatial,0.0
135,6,spatial,0.0
135,7,spatial,0.0
136,0,spatial,0.0
136,1,spatial,0.0
136,2,spatial,0.0
136,3,spatial,0.0
136,4,spatial,0.0
136,5,spatial,0.0
136,6,spatial,0.0
136,7,spatial,0.0
137,0,spatial,0.0
137,1,spatial,0.0
137,2,spatial,0.0
137,3,spatial,0.0
137,4,spatial,0.0
137,5,spatial,0.0
137,6,spatial,0.0
137,7,spatial,0.0
138,0,spatial,0.0
138,1,spatial,0.0
138,2,spatial,0.0
138,3,spatial,0.0
138,4,spatial,0.0
138,5,spatial,0.0
138,6,spatial,0.0
138,7,spatial,0.0
139,0,spatial,0.0
139,1,spatial,0.0
139,2,spatial,0.0
139,3,spatial,0.0
139,4,spatial,0.0
139,5,spatial,0.0
139,6,spatial,0.0
139,7,spatial,0.0
140,0,spatial,0.0
140,1,spatial,0.0
140,2,spatial,0.0
140,3,spatial,0.0
140,4,spatial,0.0
140,5,spatial,0.0
140,6,spatial,0.0
140,7,spatial,0.0
141,0,spatial,0.0
141,1,spatial,0.0
141,2,spatial,0.0
141,3,spatial,0.0
141,4,spatial,0.0
141,5,spatial,0.0
141,6,spatial,0.0
141,7,spatial,0.0
142,0,spatial,0.0
142,1,spatial,0.0
142,2,spatial,0.0
142,3,spatial,0.0
142,4,spatial,0.0
142,5,spatial,0.0
142,6,spatial,0.0
142,7,spatial,0.0
143,0,spatial,0.0
143,1,spatial,0.0
143,2,spatial,0.0
143,3,spatial,0.0
143,4,spatial,0.0
143,5,spatial,0.0
143,6,spatial,0.0
143,7,spatial,0.0
144,0,spatial,0.0
144,1,spatial,0.0
144,2,spatial,0.0
144,3,spatial,0.0
144,4,spatial,0.0
144,5,spatial,0.0
144,6,spatial,0.0
144,7,spatial,0.0
145,0,spatial,0.0
